metering_point_id;timestamp;value;unit_of_measure;property;reading_status;consumption_from;consumption_to;consumption_value;calculated_value;calculated_normalized_value;calculated_deviation_type;calculated_deviation_level;temperature;calculate_consuming_values;validate_simple_status;validate_advanced_status
"TDS3";"2016-01-01T00:00:00Z";159,91;"MWh";"energy";"measured";"2015-12-31T00:00:00Z";"2016-01-01T00:00:00Z";0,799999999999983;0,8287765279597877;0,034721697573463405;"smaller";"ok";3,5282393346;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-02T00:00:00Z";160,61;"MWh";"energy";"measured";"2016-01-01T00:00:00Z";"2016-01-02T00:00:00Z";0,700000000000017;0,6390767486704294;0,09533010151963085;"larger";"ok";5,6404721737;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-03T00:00:00Z";161,84;"MWh";"energy";"measured";"2016-01-02T00:00:00Z";"2016-01-03T00:00:00Z";1,2299999999999898;1,2410354100403993;0,008892099251261732;"smaller";"ok";6,1609625618;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-04T00:00:00Z";163,13;"MWh";"energy";"measured";"2016-01-03T00:00:00Z";"2016-01-04T00:00:00Z";1,289999999999992;1,5072708941216835;0,14414853691465956;"smaller";"critical";4,2691710393;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-05T00:00:00Z";164,3;"MWh";"energy";"measured";"2016-01-04T00:00:00Z";"2016-01-05T00:00:00Z";1,170000000000016;1,051784834423806;0,11239481850959661;"larger";"ok";1,1329554499;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-06T00:00:00Z";165,87;"MWh";"energy";"measured";"2016-01-05T00:00:00Z";"2016-01-06T00:00:00Z";1,5699999999999932;1,636614279431544;0,04070249188751324;"smaller";"ok";-0,8043131596;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-07T00:00:00Z";166,88;"MWh";"energy";"measured";"2016-01-06T00:00:00Z";"2016-01-07T00:00:00Z";1,009999999999991;0,9837157753043377;0,026719328240437608;"larger";"ok";1,8211662049;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-08T00:00:00Z";168,53;"MWh";"energy";"measured";"2016-01-07T00:00:00Z";"2016-01-08T00:00:00Z";1,6500000000000057;1,6749610749535357;0,014902480616883883;"smaller";"ok";3,0776136344;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-09T00:00:00Z";169,97;"MWh";"energy";"measured";"2016-01-08T00:00:00Z";"2016-01-09T00:00:00Z";1,4399999999999977;1,3315941364844728;0,08141058941707725;"larger";"ok";5,5174787243;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
"TDS3";"2016-01-10T00:00:00Z";171,77;"MWh";"energy";"measured";"2016-01-09T00:00:00Z";"2016-01-10T00:00:00Z";1,8000000000000114;1,7559314662986178;0,025096955403553958;"larger";"ok";2,5022617032;"calculate_consuming_values_ok";"validate_simple_ok";"validate_advanced_ok"
